from,to,weight
acceptance,remorse,1.6666666666666667
acceptance,envy,0.125
acceptance,pessimism,0.5714285714285714
acceptance,contempt,0.8
acceptance,cynicism,1.2
acceptance,morbidness,0.5555555555555556
acceptance,aggressiveness,2.1666666666666665
acceptance,pride,2.357142857142857
acceptance,dominance,2.375
terror,joy,0.6666666666666666
terror,trust,0.3076923076923077
terror,fear,6.625
terror,surprise,4.5
terror,sadness,3.2857142857142856
terror,disgust,4.0
terror,anger,3.5294117647058822
terror,anticipation,0.7
terror,ecstasy,0.3333333333333333
terror,serenity,0.5384615384615384
terror,admiration,1.818181818181818
terror,acceptance,1.2222222222222223
terror,apprehension,4.909090909090909
terror,amazement,4.0
terror,distraction,5.0
terror,grief,4.555555555555555
terror,pensiveness,2.0
terror,loathing,2.75
terror,boredom,1.0833333333333333
terror,rage,2.5
terror,annoyance,3.888888888888889
terror,vigilance,4.2727272727272725
terror,interest,1.3636363636363635
terror,optimism,0.2222222222222222
terror,hope,1.0
terror,anxiety,6.181818181818182
terror,love,0.5454545454545454
terror,guilt,3.1
terror,delight,0.4545454545454545
terror,submission,3.4
terror,curiosity,1.818181818181818
terror,sentimentality,1.8333333333333333
terror,awe,3.5
terror,despair,5.181818181818182
terror,shame,1.7272727272727273
terror,disappointment,4.5
terror,unbelief,4.25
terror,outrage,2.2
terror,remorse,3.0
terror,envy,2.3333333333333335
terror,pessimism,4.25
terror,contempt,3.2222222222222223
terror,cynicism,2.090909090909091
terror,morbidness,4.75
terror,aggressiveness,0.4285714285714285
terror,pride,1.3636363636363635
terror,dominance,1.625
apprehension,joy,0.4615384615384615
apprehension,trust,0.5454545454545454
apprehension,fear,5.0
apprehension,surprise,2.727272727272727
apprehension,sadness,5.0
apprehension,disgust,2.4285714285714284
apprehension,anger,2.0
apprehension,anticipation,0.7272727272727273
apprehension,ecstasy,0.5454545454545454
apprehension,serenity,1.5333333333333334
apprehension,admiration,1.2727272727272727
apprehension,acceptance,2.0
apprehension,terror,4.625
apprehension,amazement,2.5555555555555554
apprehension,distraction,5.7
apprehension,grief,4.5625
apprehension,pensiveness,4.076923076923077
apprehension,loathing,1.8333333333333333
apprehension,boredom,0.5833333333333334
apprehension,rage,2.090909090909091
apprehension,annoyance,3.4166666666666665
apprehension,vigilance,5.785714285714286
apprehension,interest,3.0
apprehension,optimism,0.1
apprehension,hope,1.0909090909090908
apprehension,anxiety,7.0
apprehension,love,2.75
apprehension,guilt,2.75
apprehension,delight,0.875
apprehension,submission,2.142857142857143
apprehension,curiosity,1.6666666666666667
apprehension,sentimentality,4.333333333333333
apprehension,awe,1.875
apprehension,despair,3.3333333333333335
apprehension,shame,2.6
apprehension,disappointment,3.75
apprehension,unbelief,5.2
apprehension,outrage,1.2
apprehension,remorse,3.6666666666666665
apprehension,envy,2.8
apprehension,pessimism,5.333333333333333
apprehension,contempt,1.5
apprehension,cynicism,1.5833333333333333
apprehension,morbidness,4.833333333333333
apprehension,aggressiveness,1.5
