from,to,weight
distraction,hope,1.4444444444444444
distraction,anxiety,5.461538461538462
distraction,love,2.3076923076923075
distraction,guilt,3.7142857142857144
distraction,delight,1.6666666666666667
distraction,submission,2.8
distraction,curiosity,2.111111111111111
distraction,sentimentality,3.5
distraction,awe,2.4615384615384617
distraction,despair,3.2142857142857144
distraction,shame,4.25
distraction,disappointment,3.0
distraction,unbelief,3.4545454545454546
distraction,outrage,3.111111111111111
distraction,remorse,3.1
distraction,envy,3.4545454545454546
distraction,pessimism,2.933333333333333
distraction,contempt,2.5714285714285716
distraction,cynicism,1.7777777777777777
distraction,morbidness,2.3333333333333335
distraction,aggressiveness,1.5555555555555556
distraction,pride,0.5384615384615384
distraction,dominance,1.875
grief,joy,0.1538461538461538
grief,trust,1.5714285714285714
grief,fear,4.615384615384615
grief,surprise,3.1818181818181817
grief,sadness,6.466666666666667
grief,disgust,4.230769230769231
grief,anger,3.4375
grief,anticipation,1.0625
grief,ecstasy,0.9230769230769232
grief,serenity,0.6923076923076923
grief,admiration,1.75
grief,acceptance,1.2857142857142858
grief,terror,4.6923076923076925
grief,apprehension,4.8
grief,amazement,2.4
grief,distraction,2.857142857142857
grief,pensiveness,4.0
grief,loathing,4.111111111111111
grief,boredom,1.5454545454545454
grief,rage,2.7857142857142856
grief,annoyance,3.636363636363636
grief,vigilance,3.857142857142857
grief,interest,1.1111111111111112
grief,optimism,0.4545454545454545
grief,hope,1.4615384615384617
grief,anxiety,4.818181818181818
grief,love,1.75
grief,guilt,4.0
grief,delight,0.5454545454545454
grief,submission,2.6875
grief,curiosity,1.5714285714285714
grief,sentimentality,5.333333333333333
grief,awe,1.5384615384615383
grief,despair,5.6
grief,shame,2.0
grief,disappointment,4.3076923076923075
grief,unbelief,3.0
grief,outrage,3.1666666666666665
grief,remorse,4.2727272727272725
grief,envy,2.533333333333333
grief,pessimism,5.454545454545454
grief,contempt,2.636363636363636
grief,cynicism,2.5454545454545454
grief,morbidness,5.090909090909091
grief,aggressiveness,0.9166666666666666
grief,pride,1.125
grief,dominance,0.875
pensiveness,joy,0.75
pensiveness,trust,1.0
pensiveness,fear,3.5
pensiveness,surprise,2.1666666666666665
pensiveness,sadness,5.2727272727272725
pensiveness,disgust,3.3
pensiveness,anger,1.7
pensiveness,anticipation,1.9
pensiveness,ecstasy,1.5454545454545454
pensiveness,serenity,1.875
pensiveness,admiration,1.9090909090909092
pensiveness,acceptance,1.6666666666666667
pensiveness,terror,3.8125
pensiveness,apprehension,5.555555555555555
pensiveness,amazement,1.3333333333333333
pensiveness,distraction,3.9
pensiveness,grief,4.083333333333333
pensiveness,loathing,1.7692307692307692
pensiveness,boredom,2.75
pensiveness,rage,1.7857142857142858
pensiveness,annoyance,2.0
pensiveness,vigilance,2.375
pensiveness,interest,0.75
pensiveness,optimism,1.1538461538461535
pensiveness,hope,2.0
pensiveness,anxiety,4.666666666666667
pensiveness,love,3.4
pensiveness,guilt,2.5714285714285716
pensiveness,delight,1.2142857142857142
pensiveness,submission,1.5454545454545454
pensiveness,curiosity,1.8888888888888888
pensiveness,sentimentality,5.1
pensiveness,awe,2.4166666666666665
pensiveness,despair,4.7272727272727275
pensiveness,shame,3.357142857142857
pensiveness,disappointment,3.7
pensiveness,unbelief,2.5833333333333335
pensiveness,outrage,2.625
pensiveness,remorse,3.0
pensiveness,envy,1.8333333333333333
pensiveness,pessimism,5.333333333333333
pensiveness,contempt,2.7857142857142856
pensiveness,cynicism,3.0714285714285716
pensiveness,morbidness,4.428571428571429
pensiveness,aggressiveness,0.8333333333333334
pensiveness,pride,1.2142857142857142
pensiveness,dominance,1.1666666666666667
loathing,joy,0.3
loathing,trust,1.0
loathing,fear,3.923076923076923
loathing,surprise,1.9090909090909092
loathing,sadness,4.083333333333333
loathing,disgust,6.416666666666667
loathing,anger,6.2
loathing,anticipation,2.0
loathing,ecstasy,1.1666666666666667
loathing,serenity,0.6
loathing,admiration,1.0
loathing,acceptance,1.2307692307692308
loathing,terror,4.166666666666667
loathing,apprehension,2.1666666666666665
loathing,amazement,1.5833333333333333
loathing,distraction,3.75
loathing,grief,3.5555555555555554
loathing,pensiveness,3.4444444444444446
loathing,boredom,1.8
loathing,rage,5.545454545454546
loathing,annoyance,5.9
loathing,vigilance,3.3
loathing,interest,1.125
loathing,optimism,1.0
loathing,hope,1.181818181818182
loathing,anxiety,4.615384615384615
loathing,love,3.0
loathing,guilt,2.4166666666666665
loathing,delight,1.1428571428571428
loathing,submission,1.9
loathing,curiosity,1.7777777777777777
loathing,sentimentality,3.25
loathing,awe,2.625
loathing,despair,4.111111111111111
loathing,shame,2.2
loathing,disappointment,4.357142857142857
loathing,unbelief,4.636363636363637
loathing,outrage,5.375
loathing,remorse,3.111111111111111
loathing,envy,5.375
loathing,pessimism,4.125
loathing,contempt,4.461538461538462
loathing,cynicism,2.8181818181818183
loathing,morbidness,3.5555555555555554
loathing,aggressiveness,1.6923076923076923
loathing,pride,1.7
loathing,dominance,1.5
boredom,joy,0.8
boredom,trust,0.6153846153846154
boredom,fear,2.25
boredom,surprise,1.3846153846153846
boredom,sadness,1.8
boredom,disgust,3.0833333333333335
boredom,anger,2.2222222222222223
boredom,anticipation,1.5454545454545454
boredom,ecstasy,0.7857142857142857
boredom,serenity,4.636363636363637
boredom,admiration,0.8333333333333334
boredom,acceptance,1.5384615384615383
boredom,terror,1.0833333333333333
boredom,apprehension,2.1
boredom,amazement,0.6363636363636364
boredom,distraction,1.7272727272727273
boredom,grief,1.9285714285714288
boredom,pensiveness,3.8
boredom,loathing,2.230769230769231
boredom,rage,0.6428571428571429
boredom,annoyance,2.125
